정류소ID,업체명,노선번호,노선유형,정류소명,전체 승차 건수,초승 건수,환승 건수,전체 하차 건수,하차 건수,미태그 건수,lon,lat
200000037,대원고속,65,일반형시내버스,KT수원지사.국민연금북수원지사,8522,6420,2102,14475,14475,0,127.0115668,37.29269555
200000041,대원고속,1009,직행좌석형시내버스,이목동.장안STX칸,3279,2269,1010,2339,2339,0,126.9839895,37.31558514
200000042,대원고속,1009,직행좌석형시내버스,이목동.장안힐스테이트,3437,2824,613,2122,2122,0,126.9853388,37.31403084
200000067,남양여객,50_2,일반형시내버스,연무동차고지,169,162,7,0,0,0,127.0300242,37.29824017
200000073,삼경운수(주),2007,직행좌석형시내버스,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,1923,1239,684,3859,3859,0,126.9890727,37.31248317
200000074,삼경운수(주),2007,직행좌석형시내버스,지지대교차로,602,466,136,388,388,0,126.9883353,37.31877088
200000075,삼경운수(주),2007,직행좌석형시내버스,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,3942,3688,254,2565,2565,0,126.9903458,37.31159184
200000077,삼경운수(주),2007,직행좌석형시내버스,한국가스안전공사.택시공제조합,2195,2063,132,3595,3595,0,126.997464,37.30815934
200000078,삼경운수(주),2007,직행좌석형시내버스,수일중학교,4762,3780,982,4185,4185,0,126.999878,37.30709485
200000079,삼경운수(주),2007,직행좌석형시내버스,수일여중.대우건설기술연구원.경기도융합과학교육원,3334,3032,302,3520,3520,0,127.002598,37.30585347
200000080,삼경운수(주),2007,직행좌석형시내버스,한일타운.경기일보.홈플러스,17520,13493,4027,13449,13449,0,127.0066358,37.3034669
200000081,삼경운수(주),300,좌석형시내버스,수원KT위즈파크.수원종합운동장,1687,1634,53,6659,6659,0,127.0103632,37.30109852
200000082,삼경운수(주),300,좌석형시내버스,영화초등학교.한국건강관리협회,1902,1874,28,5508,5508,0,127.0151764,37.29652801
200000083,삼경운수(주),300,좌석형시내버스,교육청사거리,3355,3000,355,4010,4010,0,127.0198547,37.29210989
200000084,남양여객,400,일반형시내버스,수원시평생학습관.연무사회복지관.창룡도서관,2229,2055,174,1729,1729,0,127.0269118,37.29158925
200000085,남양여객,50_2,일반형시내버스,경기대수원캠퍼스입구,132,127,5,1,1,0,127.0298221,37.29959435
200000086,남양여객,50_2,일반형시내버스,연무동종점,24,23,1,73,73,0,127.02991570000002,37.29797547
200000087,남양여객,50_2,일반형시내버스,광교공원.경기대수원캠퍼스입구,39,39,0,207,207,0,127.0295586,37.29978041
200000088,대원고속,1009,직행좌석형시내버스,화서역.화서주공3단지,51,25,26,835,835,0,126.99145190000002,37.28672389
200000090,대원고속,1009,직행좌석형시내버스,풍림아파트,68,47,21,1154,1154,0,126.9920636,37.29886868
200000091,대원고속,1009,직행좌석형시내버스,풍림아파트,1051,768,283,36,36,0,126.9920721,37.29861523
200000093,대원고속,65,일반형시내버스,KT수원지사.국민연금북수원지사,26945,15777,11168,22645,22645,0,127.011444,37.29239115
200000094,대원고속,1009,직행좌석형시내버스,동원고교.해우재입구,2109,715,1394,899,899,0,126.9839585,37.31695925
200000096,대원고속,1009,직행좌석형시내버스,정자3동주민센터.정자동중심상가,116,87,29,843,843,0,126.9932534,37.2949367
200000111,대원고속,1009,직행좌석형시내버스,정자3동주민센터.정자동중심상가,1209,1013,196,157,157,0,126.9934115,37.29540115
200000112,대원고속,1009,직행좌석형시내버스,장안고등학교,608,594,14,21,21,0,126.9949955,37.29274406
200000113,대원고속,1009,직행좌석형시내버스,경기도립수원의료원.두견마을,931,904,27,17,17,0,126.9965383,37.29016953
