정류소ID,업체명,노선번호,노선유형,정류소명,전체 승차 건수,초승 건수,환승 건수,전체 하차 건수,하차 건수,미태그 건수,lon,lat
203000125,경기고속,M5107,광역급행형시내버스,경희대학교,21176,18022,3154,50,50,0,127.0774914,37.247812
203000136,경기고속,720_1,일반형시내버스,영통역6번출구.영덕고등학교,984,685,299,402,402,0,127.069869,37.25215292
203000147,경기고속,720_1,일반형시내버스,동수원LG빌리지3단지.삼정라츠.늘푸린벽산,762,699,63,885,885,0,127.0593033,37.23720197
203000148,경기고속,720_1,일반형시내버스,망포중학교,905,691,214,2248,2248,0,127.0566292,37.2382973
203000149,경기고속,720_1,일반형시내버스,태장초등학교,448,363,85,656,656,0,127.0553944,37.24090113
203000150,경기고속,720_1,일반형시내버스,그대가프리미어아파트.망포역3번출구,11073,3083,7990,769,769,0,127.0561861,37.24473018
203000155,경기고속,720_1,일반형시내버스,청와.쌍용.그대가센트럴파크아파트,2735,2237,498,2841,2841,0,127.0554494,37.24251212
203000157,경기고속,720_1,일반형시내버스,살구골동아아파트,20889,15798,5091,3932,3932,0,127.0680567,37.24774258
203000158,경남여객,10,일반형시내버스,영통입구,9747,5690,4057,6570,6570,0,127.0831082,37.26877392
203000165,경기고속,700_2,일반형시내버스,경기대수원캠퍼스후문.수원박물관,12197,8269,3928,5359,5359,0,127.0397929,37.29710546
203000166,경기고속,700_2,일반형시내버스,경기대수원캠퍼스후문.수원박물관,3457,2331,1126,7221,7221,0,127.0394665,37.29677002
203000167,경기고속,700_2,일반형시내버스,경기남부지방경찰청.봉녕사입구,1344,1024,320,5474,5474,0,127.0349728,37.29367307
203000174,경기고속,720_1,일반형시내버스,원천주공2단지,3712,3011,701,10152,10152,0,127.0624837,37.2694245
203000175,경기고속,720_1,일반형시내버스,광교호수공원입구.원천교사거리,4057,3391,666,7284,7284,0,127.0590714,37.270789
203000176,경기고속,720_1,일반형시내버스,남부경찰서.매원초교.성일아파트,3222,2777,445,4726,4726,0,127.0555515,37.27208745
203000177,경기고속,720_1,일반형시내버스,KT동수원지사,6538,5020,1518,11452,11452,0,127.0514317,37.27323031
203000178,경기고속,720_1,일반형시내버스,구법원사거리,13751,6272,7479,7895,7895,0,127.0465362,37.27378622
203000179,경기고속,720_1,일반형시내버스,아주대삼거리,27097,15071,12026,16995,16995,0,127.0447182,37.27429789
203000211,경기고속,720_1,일반형시내버스,광교호반베르디움,6266,5962,304,2013,2013,0,127.0577797,37.27166368
203000257,경기고속,720_1,일반형시내버스,영통주공9단지,917,833,84,145,145,0,127.0651505,37.2466173
203000258,경남여객,10_2,일반형시내버스,구매탄시장입구.현대힐스테이트아파트,5196,4120,1076,6998,6998,0,127.0420502,37.27518576
203000260,남양여객,400,일반형시내버스,광교역.광교대학로,48,23,25,1836,1836,0,127.0441198,37.30003023
203000261,남양여객,400,일반형시내버스,광교역.광교대학로,1588,1284,304,15,15,0,127.0437117,37.29991037
203000262,남양여객,400,일반형시내버스,광교초등학교.광교홍재도서관,1,0,1,654,654,0,127.047543,37.30387381
203000263,남양여객,400,일반형시내버스,광교초등학교.광교홍재도서관,518,504,14,2,2,0,127.0473423,37.3038612
203000264,경기고속,M5115,광역급행형시내버스,광교한양수자인.호반가든하임,35,35,0,2359,2359,0,127.0487526,37.30529629
203000265,경기고속,M5115,광역급행형시내버스,광교한양수자인.호반가든하임,3219,3125,94,17,17,0,127.0488576,37.30544362
203000274,경기고속,M5115,광역급행형시내버스,광교센트럴타운60단지.힐스테이트레이크,174,165,9,1019,1019,0,127.0611636,37.28912459
203000275,경기고속,M5115,광역급행형시내버스,광교센트럴타운60단지.힐스테이트레이크,1329,1303,26,179,179,0,127.0607303,37.28910422
203000276,경남여객,670,일반형시내버스,수원컨벤션센터.롯데아울렛,225,219,6,44,44,0,127.0574817,37.28598241
203000277,경남여객,670,일반형시내버스,수원컨벤션센터.롯데아울렛,535,521,14,588,588,0,127.0578015,37.28661512
203000278,경남여객,670,일반형시내버스,원천호수사거리.광교센트럴타운62단지,214,210,4,550,550,0,127.064337,37.28793497
203000279,경남여객,670,일반형시내버스,원천호수사거리.힐스테이트광교,668,662,6,42,42,0,127.0645078,37.28771861
203000280,경남여객,670,일반형시내버스,수원고등법원.수원고등검찰청.광교호수공원,68,66,2,225,225,0,127.0700762,37.28987705
203000281,경남여객,670,일반형시내버스,수원고등법원.수원고등검찰청.광교호수공원,169,164,5,32,32,0,127.0700088,37.28966397
203000282,경남여객,670,일반형시내버스,이의초중고교.광교참누리레이크아파트,639,633,6,52,52,0,127.0720718,37.29203576
203000283,경남여객,670,일반형시내버스,이의초중고교.광교참누리레이크아파트,131,127,4,310,310,0,127.0718961,37.29222734
203000285,경기고속,M5115,광역급행형시내버스,광교휴먼시아32단지정문,448,429,19,20,20,0,127.0677502,37.29281379
203000286,경기고속,M4101,광역급행형시내버스,상현역,21036,10886,10150,1780,1780,0,127.0693488,37.29693223
203000287,경기고속,M4101,광역급행형시내버스,상현역,1877,972,905,20504,20504,0,127.0690374,37.29705484
203000294,경기고속,M5121,광역급행형시내버스,소화초등학교,1286,1224,62,330,330,0,127.0520128,37.27798295
203000295,경기고속,M5121,광역급행형시내버스,소화초등학교,27,13,14,2076,2076,0,127.0516447,37.27826869
203000304,경남여객,55,일반형시내버스,광교호반마을입구,801,758,43,1569,1569,0,127.0675216,37.2761862
203000305,경남여객,55,일반형시내버스,광교호반마을입구,1580,1429,151,524,524,0,127.0676094,37.27641605
203000306,남양여객,22,일반형시내버스,광교차고지.연화장입구,113,86,27,44,44,0,127.0783032,37.28744301
203000307,남양여객,22,일반형시내버스,광교차고지.연화장입구,19,13,6,79,79,0,127.0784584,37.2874088
203000310,경남여객,55,일반형시내버스,광교호반마을21단지,298,273,25,214,214,0,127.0675136,37.2782807
203000311,경남여객,55,일반형시내버스,광교호반마을21단지,67,66,1,140,140,0,127.0675286,37.27919754
203000312,경남여객,55,일반형시내버스,광교호수공원.제2주차장,473,451,22,1845,1845,0,127.0705051,37.28150183
203000313,경남여객,55,일반형시내버스,광교한양수자인,2497,2439,58,676,676,0,127.0709455,37.28143403
203000314,경남여객,670,일반형시내버스,광교휴먼시아32단지,381,126,255,389,389,0,127.0682572,37.29420834
203000319,(주)용남고속버스라인,7002,직행좌석형시내버스,광교해모로아파트,65,58,7,106,106,0,127.0516151,37.30590246
203000320,(주)용남고속버스라인,7002,직행좌석형시내버스,광교해모로아파트,294,272,22,73,73,0,127.051874,37.30594209
203000332,경기고속,720_1,일반형시내버스,황골쌍용아파트,952,892,60,928,928,0,127.0822587,37.26365064
203000338,경기고속,700_2,일반형시내버스,광교역사공원.광교카페거리,3405,3191,214,2515,2515,0,127.052972,37.29513646
203000339,(주)용남고속버스라인,7002,직행좌석형시내버스,수원광교박물관,127,114,13,66,66,0,127.0495795,37.2964704
203000340,(주)용남고속버스라인,7002,직행좌석형시내버스,수원광교박물관,42,40,2,95,95,0,127.049332,37.29641748
203000341,남양여객,400,일반형시내버스,광교호반베르디움트라엘.광교해모로,97,91,6,2,2,0,127.0517087,37.30467136
203000342,남양여객,400,일반형시내버스,광교호반베르디움트라엘.광교해모로,5,5,0,106,106,0,127.0514412,37.30413786
203000372,경기고속,720_1,일반형시내버스,영통구보건소.수원체육문화센터,7,5,2,2932,2932,0,127.0687936,37.25748231
203000373,경기고속,720_1,일반형시내버스,영통구보건소.수원체육문화센터,1416,1274,142,1168,1168,0,127.0691019,37.25722989
203000390,경남여객,670,일반형시내버스,광교센트럴타운62단지.힐스테이트레이크,120,119,1,199,199,0,127.0632277,37.28878467
203000391,경남여객,670,일반형시내버스,광교센트럴타운62단지.힐스테이트레이크,144,142,2,40,40,0,127.0622695,37.28918546
203000395,경남여객,670,일반형시내버스,광교2동주민센터,114,112,2,26,26,0,127.0702693,37.29301041
203000396,경남여객,670,일반형시내버스,광교2동주민센터,23,23,0,167,167,0,127.0703426,37.2929347
203000397,경남여객,670,일반형시내버스,광교휴먼시아32단지.이의고교,22,22,0,47,47,0,127.068596,37.29427223
203000399,경기고속,M5115,광역급행형시내버스,광교중앙.아주대역환승센터,16695,13671,3024,2605,2605,0,127.0519166,37.28849864
203000400,경기고속,M5115,광역급행형시내버스,광교중앙.아주대역환승센터,2829,785,2044,11540,11540,0,127.0516618,37.28832822
203000401,경기고속,720_2,일반형시내버스,광교역사공원.광교카페거리,275,229,46,1089,1089,0,127.0547413,37.29573688
228001883,경남여객,10_2,일반형시내버스,흥덕IT밸리,514,183,331,835,835,0,127.0682056,37.26917065
233000001,경기고속,700_2,일반형시내버스,수영오거리.방송통신대입구,2872,1153,1719,2910,2910,0,126.9624419,37.23773523
233000592,경기고속,700_2,일반형시내버스,국립축산과학원,14,6,8,247,247,0,126.9659014,37.23613526
201000404,경진여객운수(주),7800,직행좌석형시내버스,호매실동차고지,340,299,41,12,12,0,126.9628587,37.25481765
201000405,경진여객운수(주),7800,직행좌석형시내버스,호매실동차고지,1,0,1,106,106,0,126.9630065,37.25488417
201000435,경진여객운수(주),7800,직행좌석형시내버스,능실초등학교,12,12,0,1277,1277,0,126.956963,37.26019722
201000436,경진여객운수(주),7800,직행좌석형시내버스,능실초등학교,1527,1478,49,3,3,0,126.9572144,37.26036743
201000438,경진여객운수(주),7800,직행좌석형시내버스,호매실스위첸19단지.능실마을22단지,693,685,8,4,4,0,126.9598817,37.25874128
201000439,경진여객운수(주),7800,직행좌석형시내버스,호매실스위첸19단지.능실마을22단지,5,3,2,479,479,0,126.9602657,37.25859878
201000440,경진여객운수(주),7800,직행좌석형시내버스,능실마을20단지,8,8,0,283,283,0,126.9621744,37.25748011
201000458,경진여객운수(주),7800,직행좌석형시내버스,능실마을20단지,221,209,12,1,1,0,126.9623631,37.25782971
202000230,경기고속,700_2,일반형시내버스,장안문.수원전통문화관,4453,2791,1662,7003,7003,0,127.0153265,37.28677526
202000231,경기고속,700_2,일반형시내버스,팔달구청.화성행궁.수원성지,2347,1441,906,11060,11060,0,127.0162619,37.28390086
202000245,(주)용남고속버스라인,3003,직행좌석형시내버스,율현중학교.녹색교통회관.꽃뫼버들코오롱아파트,90,77,13,2317,2317,0,126.9807202,37.28583968
202000246,(주)용남고속버스라인,3003,직행좌석형시내버스,엘지아파트.금강아파트,89,80,9,4815,4815,0,126.9817138,37.28799446
202000247,(주)용남고속버스라인,3003,직행좌석형시내버스,엘지아파트.금강아파트,5761,5586,175,111,111,0,126.9821016,37.28789727
202000248,경기고속,700_2,일반형시내버스,화성행궁.여민각,219,204,15,1142,1142,0,127.0173603,37.28192703
202000252,경기고속,700_2,일반형시내버스,화성행궁,5938,3695,2243,3831,3831,0,127.0158561,37.28438747
202000253,경기고속,700_2,일반형시내버스,수원전통문화관.장안동,15164,5025,10139,5485,5485,0,127.0151122,37.28667617
202000255,(주)용남고속버스라인,3003,직행좌석형시내버스,율현중학교.녹색교통회관.꽃뫼버들코오롱아파트,3427,3173,254,67,67,0,126.980807,37.2856076
202000262,경진여객운수(주),3000,직행좌석형시내버스,수원역.AK플라자,263,74,189,2454,2454,0,127.0016105,37.26494992
203000033,남양여객,400,일반형시내버스,경기대후문,32,29,3,2,2,0,127.0366905,37.29910622
203000036,남양여객,400,일반형시내버스,경기대후문,0,0,0,119,119,0,127.0366949,37.29927694
203000315,남양여객,400,일반형시내버스,광교파크자이더테라스.열림공원,0,0,0,56,56,0,127.0392312,37.30817572
203000316,남양여객,400,일반형시내버스,광교웰빙타운.열림공원,154,150,4,48,48,0,127.038918,37.30818421
203000317,남양여객,400,일반형시내버스,광교대광로제비앙,102,97,5,14,14,0,127.0407114,37.30678742
203000318,남양여객,400,일반형시내버스,광교대광로제비앙,0,0,0,82,82,0,127.0408202,37.30691328
203000343,남양여객,400,일반형시내버스,광교e편한세상2차.광교중학교,30,18,12,359,359,0,127.046627,37.30545124
203000344,남양여객,400,일반형시내버스,광교중학교.광교e편한세상2차,542,528,14,39,39,0,127.0464941,37.30530987
203000356,남양여객,400,일반형시내버스,호반베르디움,16,6,10,256,256,0,127.0446965,37.30552683
203000357,남양여객,400,일반형시내버스,호반베르디움,221,218,3,12,12,0,127.0440012,37.30547952
200000285,경진여객운수(주),7800(예약),직행좌석형시내버스,성균관대역.고용노동부경기지청.율전성당,10,8,2,0,0,0,126.9731982,37.30152322
