mybi_id,bis_id,stn_nm,lon,lat
2505440,30516,비전대학교입구.데시앙아이린,127.09531270000001,35.80661703
2505450,30517,데시앙아이린,127.096453,35.805602
2505460,30501,데시앙아이린정문,127.09719299999999,35.805347999999995
2505470,30523,휴먼시아6단지.LH전북지역본부,127.10373200000001,35.80697
2505480,30519,휴먼시아6단지.LH전북지역본부,127.1037249,35.8062129
2505490,30400,전주천년한지관,127.14963600000002,35.797703000000006
2505500,30399,전주천년한지관,127.14976399999999,35.797746999999994
2505510,32038,흑석골입구,127.15002700000001,35.804159999999996
2505520,32244,흑석골입구,127.15089099999999,35.805126
2505550,30431,흑석대승푸른맨션,127.15054340000002,35.79957576
2505560,30429,흑석대승푸른맨션,127.15072099999999,35.79953534
2505570,30463,흑석송원아파트,127.15018300000001,35.802306
2505580,30460,흑석송원아파트,127.15037620000001,35.80190147
2505590,30666,흥국화재,127.14684,35.81917719
2505600,31432,cbs기독교방송,127.0551973,35.87469125
2505620,31049,KT북전주지점.덕진광장,127.123296,35.842967
2505630,31052,KT북전주지점.덕진광장,127.12308349999999,35.84310173
2505640,31158,가소마을,127.19046189999999,35.85298416
2505650,31157,가소마을,127.1905368,35.85284536
2505660,31354,감수리,127.0999571,35.86702965
2505670,31353,감수리,127.0999173,35.86663278
2505680,30909,거성고속맨션.자원봉사센터.고속버스터미널입구,127.12722360000001,35.8335539
2505690,30907,거성고속맨션.자원봉사센터.고속버스터미널입구,127.12747,35.833487
2505700,30973,경기장거성아파트,127.12121,35.836831
2505710,30975,경기장거성아파트,127.12143590000002,35.83700157
2505720,31427,초포로고당마을,127.150719,35.87407
2505730,36472,초포로고당마을,127.15047779999999,35.874258399999995
2505730,31445,고당마을,127.15130400000001,35.875383
2505740,31434,완주로고당마을,127.151808,35.874687
2505760,31417,완주로고당마을,127.15109309999998,35.87349615
2505770,31014,안덕원로.고려병원,127.16745220000001,35.83951413
2505780,31011,안덕원로.고려병원,127.1674858,35.83923015
2505790,30954,고속버스터미널후문,127.12958799999998,35.83569905
2505800,30952,고속버스터미널후문,127.12900400000001,35.835574
2505810,31597,고잔,127.02458109999999,35.89259892
2505820,31593,고잔,127.0244804,35.89222628
2505830,31190,공단주유소,127.088728,35.854114
2505840,31179,공단주유소,127.08903400000001,35.854151
2505850,30638,관암마을,127.18230420000002,35.8164993
2505870,31538,구중리,127.0769531,35.88533194
2505880,31537,구중리,127.0772,35.884620399999996
2505890,32155,국민연금공단,127.06966299999999,35.838914
2505900,32156,국민연금공단,127.069781,35.838614
2505910,30992,고속터미널입구.금암1동주민센터,127.13141170000002,35.8379584
2505920,31588,굴신마을,127.04540729999998,35.89195941
2505940,36200,화신마을,127.03694159999999,35.8912943
2505950,31012,금상동,127.19319490000001,35.83934701
2505960,31076,금상동성당,127.1812933,35.84501386
2505970,31075,금상동성당,127.180926,35.845511
2505980,30969,금암1동주민센터,127.13363899999999,35.83678745
2506000,30915,금암광장.청담한방병원,127.136648,35.833708
2506010,30911,금암광장,127.137297,35.833069
2506020,30905,기린대로금암광장,127.137528,35.833234000000004
2506030,30906,기린대로금암광장,127.13783590000001,35.83345839
2506040,30964,금암시립도서관,127.1371527,35.83642889
2506050,31010,금암중앙하이츠,127.1383149,35.83893341
2506060,30995,금암중앙하이츠,127.13769270000002,35.83806254
2506070,30968,금암초교입구,127.136997,35.836713
2506080,31037,금하마을,127.1860011,35.84161492
2506090,31035,금하마을,127.1858841,35.84144892
2506100,30902,기린네거리,127.1546116,35.83331422
2506110,30910,기린네거리,127.15505290000002,35.83345252
2506120,31264,기린대로경제통상진흥원,127.092633,35.859842
2506130,31271,기린대로경제통상진흥원,127.0928862,35.86015131
2506140,31085,기린대로덕진공원,127.11969440000001,35.84624591
2506150,31083,기린대로덕진공원,127.1213678,35.84574561
2506160,31043,전북대학교.농협앞,127.1251577,35.84250102
2506170,31050,전북대학교.덕진성당앞,127.125222,35.842863
2506180,31214,팔복예술공장,127.1005933,35.85588544
2506190,31250,기린원,127.158326,35.858724
2506200,31251,기린원,127.158203,35.858764
2506220,31192,기린중,127.1576002,35.85455441
2506230,31185,기린중,127.15818390000001,35.85423569
2506240,30908,기린초교,127.158825,35.833587
2506250,30917,기린초교,127.1590637,35.83379185
2506260,31364,남정리,127.01818,35.868619
2506270,31365,남정리,127.018068,35.868641
2506290,31363,농수산시장 내,127.116693,35.867906
2506320,31356,농수산시장 내,127.11673,35.867740999999995
2506330,31495,농은마을,127.1505162,35.88000647
2506340,31496,농은마을,127.1506761,35.88006292
2506350,31379,대송장례식장,127.13648700000002,35.869341
2506360,31475,월곡마을앞,127.112058,35.878708
2506370,31479,월곡마을앞,127.11253500000001,35.877965
2506380,31126,온고을장례식장,127.08301999999999,35.849983
2506400,32303,대지마을,127.143005,35.857811
2506410,32302,대지마을,127.143107,35.857751
2506430,31078,전북대학병원내,127.1423653,35.8457004
2506440,31168,대한적십자사,127.06621979999998,35.85385720000001
2506450,31172,대한적십자사,127.06596529999999,35.85382020000001
2506460,31468,대흥리,127.0394142,35.87727818
2506470,31466,대흥리,127.03972140000002,35.87700746
2506480,31335,덕동,127.013865,35.86582356
2506490,31336,덕동,127.0137548,35.86584684
2506500,31106,덕일초중,127.1138527,35.84909503
2506510,31058,덕진경찰서,127.093277,35.8438
2506520,31057,덕진경찰서,127.09428500000001,35.843503999999996
2506530,31036,덕촌,127.09646299999999,35.841791
2506540,31039,덕촌,127.09665700000001,35.841972999999996
2506550,31528,도도리,127.01714150000001,35.88422788
2506560,31513,도도리,127.01730649999999,35.88399879999999
2506570,31453,남정리입구,127.0174152,35.8759515
2506580,31451,남정리입구,127.01766119999999,35.87579598
2506610,31105,도립국악원,127.11901499999999,35.849157
2506620,31112,도립국악원,127.1196889,35.84934543
2506630,31169,도립여성중고 롯데마트,127.11979369999999,35.85361352
2506640,30930,도매다리,127.15659850000002,35.83462885
2506650,30931,도매다리,127.156502,35.834742999999996
2506660,31305,도시첨단산업단지,127.08507649999999,35.86358541
2506670,31298,도시첨단산업단지,127.0852655,35.86308036
2506680,31599,동계,127.0169757,35.89276907
2506690,31598,동계,127.0170665,35.89276591
2506700,30808,동국아파트,127.13327079999999,35.82749939
2506710,30812,동국아파트,127.13292679999999,35.82763312
2506720,31230,팔복예술공장.동명기계,127.100755,35.856229
2506730,31197,전주동물원,127.1411122,35.85480228
2506740,31212,전주동물원,127.1415373,35.85448497
2506760,31095,동부대로신기마을,127.162553,35.847002
2506780,31346,호성진흥3단지,127.14731270000001,35.86634247
2506790,31347,차량등록사업소,127.1477452,35.86637629
2506800,31414,여의우신아파트,127.081309,35.873209
2506810,31416,여의우신아파트,127.08138290000001,35.8734283
2506820,31410,여의동우체국,127.0759173,35.872361299999994
2506830,31406,여의동우체국전북은행,127.0765838,35.8714162
2506860,31457,여의역,127.0832864,35.87607435
2506870,31456,여의역,127.08345759999999,35.87599383
2506890,31252,동재마을,127.06333799999999,35.858897999999996
2506900,31245,동재마을,127.06334890000001,35.85836557
2506910,30998,동중학교,127.151229,35.838527
2506920,30991,동중학교,127.15075130000001,35.83782996
2506930,32114,두현마을,127.07156200000001,35.831562
2506950,32274,농생명로두현마을,127.071197,35.832162
2506960,30865,두현마을,127.0722129,35.83228875
2506980,32051,마당재,127.16327199999999,35.825256
2506990,30764,마당재,127.1633817,35.82493459
2507000,32157,만성LH퍼스트리움,127.073815,35.837659
2507010,32158,만성LH퍼스트리움,127.07504899999999,35.836705
2507020,31381,농수산시장.메가박스,127.11464299999999,35.869223
